ATS_CODE	BORO	BORONUM	LOC_CODE	SCHOOLNAME	SCH_TYPE	MANAGED_BY	GEO_DISTRI	ADMIN_DIST	ADDRESS	STATE_CODE	ZIP	PRINCIPAL	PRIN_PH	FAX	GRADES	City
32K106 	K	2.0	K106	P.S. 106 EDWARD EVERETT HALE	Elementary	1.0	32	32.0	1328 PUTNAM AVENUE	NY	11221	ROBERT FLORES	718-574-0261	718-574-1054	PK,0K,01,02,03,04,05,SE	BROOKLYN
15K107 	K	2.0	K107	P.S. 107 JOHN W. KIMBALL	Elementary	1.0	15	15.0	1301 8 AVENUE	NY	11215	CYNTHIA HOLTON	718-499-2054	718-965-6479	PK,0K,01,02,03,04,05,SE	BROOKLYN
19K108 	K	2.0	K108	P.S. 108 SAL ABBRACCIAMENTO	Elementary	1.0	19	19.0	200 LINWOOD STREET	NY	11208	CONSTANCE HAHN	718-277-7010	718-827-4137	0K,01,02,03,04,05,SE	BROOKLYN
22K109 	K	2.0	K109	P.S. 109	K-8	1.0	22	22.0	1001 EAST  45 STREET	NY	11203	Joan Thomas	718-693-3426	718-693-3072	0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
14K110 	K	2.0	K110	P.S. 110 THE MONITOR	Elementary	1.0	14	14.0	124 MONITOR STREET	NY	11222	ANNA CANO AMATO	718-383-7600	718-383-5053	PK,0K,01,02,03,04,05,SE	BROOKLYN
20K112 	K	2.0	K112	P.S. 112 LEFFERTS PARK	Elementary	1.0	20	20.0	7115 15 AVENUE	NY	11228	Louise Verdemare (Alfano)	718-232-0685	718-232-3609	0K,01,02,03,04,05,SE	BROOKLYN
13K113 	K	2.0	K113	M.S. 113 RONALD EDMONDS LEARNING CENTER	Junior High-Intermediate-Middle	1.0	13	13.0	300 ADELPHI STREET	NY	11205	Dawnique Daughtry	718-834-6734	718-596-2802	06,07,08,SE	BROOKLYN
18K114 	K	2.0	K114	P.S. 114 RYDER ELEMENTARY	Elementary	1.0	18	18.0	1077 REMSEN AVENUE	NY	11236	Darwin Smith	718-257-4428	718-649-5216	PK,0K,01,02,03,04,05,SE	BROOKLYN
18K115 	K	2.0	K115	P.S. 115 DANIEL MUCATEL SCHOOL	Elementary	1.0	18	18.0	1500 EAST  92 STREET	NY	11236	Denis Guerin	718-241-1000	718-209-1714	PK,0K,01,02,03,04,05,SE	BROOKLYN
32K116 	K	2.0	K116	P.S. 116 ELIZABETH L FARRELL	Elementary	1.0	32	32.0	515 KNICKERBOCKER AVENUE	NY	11237	SEIW KONG	718-821-4623	718-821-0363	0K,01,02,03,04,05,SE	BROOKLYN
22K119 	K	2.0	K119	P.S. 119 AMERSFORT	Elementary	1.0	22	22.0	3829 AVENUE K	NY	11210	LISA FERNANDEZ	718-377-7696	718-338-0694	0K,01,02,03,04,05,SE	BROOKLYN
14K120 	K	2.0	K120	P.S. 120 CARLOS TAPIA	Elementary	1.0	14	14.0	18 BEAVER STREET	NY	11206	Liza Caraballo	718-455-1000	718-574-6637	PK,0K,01,02,03,04,05,SE	BROOKLYN
21K121 	K	2.0	K121	P.S. 121 NELSON A. ROCKEFELLER	K-8	1.0	21	21.0	5301 20 AVENUE	NY	11204	LILLIAN CATALANO	718-377-8845	718-252-4075	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
32K123 	K	2.0	K123	P.S. 123 SUYDAM	Elementary	1.0	32	32.0	100 IRVING AVENUE	NY	11237	VERONICA GREENE	718-821-4810	718-821-0858	0K,01,02,03,04,05,SE	BROOKLYN
15K124 	K	2.0	K124	P.S. 124 SILAS B. DUTCHER	Elementary	1.0	15	15.0	515 4 AVENUE	NY	11215	Annabelle Martinez	718-788-0246	718-965-9558	PK,0K,01,02,03,04,05,SE	BROOKLYN
14K126 	K	2.0	K126	JOHN ERICSSON MIDDLE SCHOOL 126	Junior High-Intermediate-Middle	1.0	14	14.0	424 LEONARD STREET	NY	11222	ROSEMARY OCHOA	718-782-2527	718-302-2319	06,07,08,SE	BROOKLYN
20K127 	K	2.0	K127	P.S. 127 MCKINLEY PARK	Elementary	1.0	20	20.0	7805 7 AVENUE	NY	11228	Agatha Alicandro	718-833-2323	718-836-9427	0K,01,02,03,04,05,SE	BROOKLYN
21K128 	K	2.0	K128	P.S. 128 BENSONHURST	Elementary	1.0	21	21.0	2075 84 STREET	NY	11214	MARCIA ROBINS	718-373-5900	718-266-6254	PK,0K,01,02,03,04,05,SE	BROOKLYN
15K130 	K	2.0	K130	P.S. 130 THE PARKSIDE	Elementary	1.0	15	15.0	70 OCEAN PARKWAY	NY	11218	MARIA NUNZIATA	718-686-1940	718-854-9756	PK,0K,01,02,03,04,05,SE	BROOKLYN
15K131 	K	2.0	K131	P.S. 131 BROOKLYN	Elementary	1.0	15	15.0	4305 FT HAMILTON PARKWAY	NY	11219	RUTH QUILES	718-686-1457	718-853-5952	PK,0K,01,02,03,04,05,SE	BROOKLYN
14K132 	K	2.0	K132	P.S. 132 THE CONSELYEA SCHOOL	Elementary	1.0	14	14.0	320 MANHATTAN AVENUE	NY	11211	BETH LUBECK	718-599-7301	718-599-7417	PK,0K,01,02,03,04,05,SE	BROOKLYN
22K134 	K	2.0	K134	P.S. K134	Elementary	1.0	22	22.0	4001 18 AVENUE	NY	11218	DEBRA RAMSARAN	718-436-7200	718-854-4115	PK,0K,01,02,03,04,05,SE	BROOKLYN
18K135 	K	2.0	K135	P.S. 135 SHELDON A. BROOKNER	Elementary	1.0	18	18.0	684 LINDEN BOULEVARD	NY	11203	Trevlyn Mcrae	718-693-4363	718-941-0847	PK,0K,01,02,03,04,05,SE	BROOKLYN
15K136 	K	2.0	K136	I.S. 136 CHARLES O. DEWEY	Junior High-Intermediate-Middle	1.0	15	15.0	4004 4 AVENUE	NY	11232	ERIC SACKLER	718-965-3333	718-965-9567	06,07,08,SE	BROOKLYN
23K137 	K	2.0	K137	P.S./I.S. 137 RACHEL JEAN MITCHELL	K-8	1.0	23	23.0	121 SARATOGA AVENUE	NY	11233	Winston Riley	718-453-2926	718-453-5363	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
17K138 	K	2.0	K138	P.S. 138 BROOKLYN	K-8	1.0	17	17.0	760 PROSPECT PLACE	NY	11216	Ms. Marie Chauvet-Monchik	718-467-0800	718-953-3422	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
22K139 	K	2.0	K139	P.S. 139 ALEXINE A. FENTY	Elementary	1.0	22	22.0	330 RUGBY ROAD	NY	11226	MARY MCDONALD	718-282-5254	718-940-1205	PK,0K,01,02,03,04,05,SE	BROOKLYN
75K140 	K	2.0	K140	P.S. K140	K-8	1.0	23	75.0	985 ROCKAWAY AVENUE	NY	11212	MICHELLE CARPENTER	718-498-2800	718-498-9192	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
75K141 	K	2.0	K141	P.S. K141	K-12 all grades	1.0	17	75.0	655 PARKSIDE AVENUE	NY	11226	MICHELE THORNTON MANNIX	718-941-0320	718-941-3152	PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE	BROOKLYN
32K145 	K	2.0	K145	P.S. 145 ANDREW JACKSON	Elementary	1.0	32	32.0	100 NOLL STREET	NY	11206	MARILYN TORRES	718-821-4823	718-417-3453	PK,0K,01,02,03,04,05,SE	BROOKLYN
15K146 	K	2.0	K146	P.S. 146	Elementary	1.0	15	15.0	610 HENRY STREET	NY	11231	ANNA ALLANBROOK	718-923-4750	718-923-4780	PK,0K,01,02,03,04,05,SE	BROOKLYN
14K147 	K	2.0	K147	P.S. 147 ISSAC REMSEN	Elementary	1.0	14	14.0	325 BUSHWICK AVENUE	NY	11206	JULIA DRAKE	718-497-0326	718-628-4988	PK,0K,01,02,03,04,05,SE	BROOKLYN
19K149 	K	2.0	K149	P.S. 149 DANNY KAYE	Elementary	1.0	19	19.0	700 SUTTER AVENUE	NY	11207	ENID SILVERA	718-385-8666	718-345-8118	PK,0K,01,02,03,04,05,SE	BROOKLYN
23K150 	K	2.0	K150	P.S. 150 CHRISTOPHER	K-8	1.0	23	23.0	364 SACKMAN STREET	NY	11212	Pamela Bradley Muchere	718-495-7746	718-922-3785	0K,01,02,03,04,05,08,SE	BROOKLYN
32K151 	K	2.0	K151	P.S. 151 LYNDON B. JOHNSON	Elementary	1.0	32	32.0	763 KNICKERBOCKER AVENUE	NY	11207	Maria Anaya	718-821-4800	718-821-0166	PK,0K,01,02,03,04,05,SE	BROOKLYN
22K152 	K	2.0	K152	SCHOOL OF SCIENCE & TECHNOLOGY	Elementary	1.0	22	22.0	725 EAST  23 STREET	NY	11210	Dr. Rhonda D. Farkas	718-434-5222	718-859-5965	PK,0K,01,02,03,04,05,SE	BROOKLYN
21K153 	K	2.0	K153	P.S. 153 HOMECREST	Elementary	1.0	21	21.0	1970 HOMECREST AVENUE	NY	11229	Carl SantaMaria	718-375-4484	718-375-4439	PK,0K,01,02,03,04,05,SE	BROOKLYN
15K154 	K	2.0	K154	MAGNET SCHOOL FOR SCIENCE & TECHNOLOGY	Elementary	1.0	15	15.0	1625 11 AVENUE	NY	11215	SAMUEL ORTIZ	718-768-0057	718-832-2573	PK,0K,01,02,03,04,05,SE	BROOKLYN
23K155 	K	2.0	K155	P.S./ I.S. 155 NICHOLAS HERKIMER	K-8	1.0	23	23.0	1355 HERKIMER STREET	NY	11233	NELLY CORTES	718-495-7751	718-345-9064	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
23K156 	K	2.0	K156	P.S. 156 WAVERLY	Elementary	1.0	23	23.0	104 SUTTER AVENUE	NY	11212	BEVERLY LOGAN	718-498-2811	718-346-2804	PK,0K,01,02,03,04,05,SE	BROOKLYN
14K157 	K	2.0	K157	P.S. 157 BENJAMIN FRANKLIN	Elementary	1.0	14	14.0	850 KENT AVENUE	NY	11205	MARIBEL TORRES	718-622-9285	718-398-4155	PK,0K,01,02,03,04,05,SE	BROOKLYN
19K158 	K	2.0	K158	P.S. 158 WARWICK	Elementary	1.0	19	19.0	400 ASHFORD STREET	NY	11207	AUDREY WILSON	718-277-6116	718-827-4300	PK,0K,01,02,03,04,05,SE	BROOKLYN
19K159 	K	2.0	K159	P.S. 159 ISAAC PITKIN	Elementary	1.0	19	19.0	2781 PITKIN AVENUE	NY	11208	MONICA DUNCAN	718-277-4828	718-827-4531	0K,01,02,03,04,05,SE	BROOKLYN
17K161 	K	2.0	K161	P.S. 161 THE CROWN	K-8	1.0	17	17.0	330 CROWN STREET	NY	11225	Ms. Deborah Barrett	718-756-3100	718-953-3605	0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
32K162 	K	2.0	K162	J.H.S. 162 THE WILLOUGHBY	Junior High-Intermediate-Middle	1.0	32	32.0	1390 WILLOUGHBY AVENUE	NY	11237	Barbara DeMartino	718-821-4860	718-821-1728	06,07,08,SE	BROOKLYN
20K164 	K	2.0	K164	P.S. 164 CAESAR RODNEY	Elementary	1.0	20	20.0	4211 14 AVENUE	NY	11219	Margaret Choy-Shan	718-854-4100	718-853-9306	PK,0K,01,02,03,04,05,SE	BROOKLYN
23K165 	K	2.0	K165	P.S. 165 IDA POSNER	K-8	1.0	23	23.0	76 LOTT AVENUE	NY	11212	Fran Ellers	718-495-7759	718-345-8255	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
19K166 	K	2.0	K166	J.H.S. 166 GEORGE GERSHWIN	Junior High-Intermediate-Middle	1.0	19	19.0	800 VAN SICLEN AVE	NY	11207	MARIA ORTEGA	718-649-0765	718-927-2172	06,07,08,SE	BROOKLYN
17K167 	K	2.0	K167	P.S. 167 THE PARKWAY	Elementary	1.0	17	17.0	1025 EASTERN PARKWAY	NY	11213	MARC MARDY	718-774-2640	718-953-1954	PK,0K,01,02,03,04,05,SE	BROOKLYN
15K169 	K	2.0	K169	P.S. 169 SUNSET PARK	Elementary	1.0	15	15.0	4305 7 AVENUE	NY	11232	JOSEPHINE SANTIAGO	718-853-3224	718-633-9621	0K,01,02,03,04,05,SE	BROOKLYN
20K170 	K	2.0	K170	P.S. 170 LEXINGTON	Elementary	1.0	20	20.0	7109 6 AVENUE	NY	11209	Zhen (Tony) Wu	718-748-0333	718-921-6351	0K,01,02,03,04,05,SE	BROOKLYN
19K171 	K	2.0	K171	I.S. 171 ABRAHAM LINCOLN	Junior High-Intermediate-Middle	1.0	19	19.0	528 RIDGEWOOD AVENUE	NY	11208	YOLANDA FUSTANIO	718-647-0111	718-827-5834	05,06,07,08,SE	BROOKLYN
15K172 	K	2.0	K172	P.S. 172 BEACON SCHOOL OF EXCELLENCE	Elementary	1.0	15	15.0	825 4 AVENUE	NY	11232	Jack Spatola	718-965-4200	718-965-2468	PK,0K,01,02,03,04,05,SE	BROOKLYN
19K174 	K	2.0	K174	P.S. 174 DUMONT	K-8	1.0	19	19.0	574 DUMONT AVENUE	NY	11207	INGRID MASON	718-345-1223	718-345-8808	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
20K176 	K	2.0	K176	P.S. 176 OVINGTON	Elementary	1.0	20	20.0	1225 69 STREET	NY	11219	ELIZABETH CULKIN	718-236-7755	718-331-9188	0K,01,02,03,04,05,SE	BROOKLYN
21K177 	K	2.0	K177	P.S. 177 THE MARLBORO	Elementary	1.0	21	21.0	346 AVENUE P	NY	11204	SHOSHANA SINGER	718-375-9506	718-375-4450	PK,0K,01,02,03,04,05,SE	BROOKLYN
23K178 	K	2.0	K178	P.S. 178 SAINT CLAIR MCKELWAY	K-8	1.0	23	23.0	2163 DEAN STREET	NY	11233	JOSEPH FRANTZ HENRY	718-495-7768	718-495-2304	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
20K179 	K	2.0	K179	P.S. 179 KENSINGTON	Elementary	1.0	20	20.0	202 AVENUE C	NY	11218	VALERIE JOSEPH	718-438-4010	718-871-7484	PK,0K,01,02,03,04,05,SE	BROOKLYN
20K180 	K	2.0	K180	P.S. 180 HOMEWOOD	K-8	1.0	20	20.0	5601 16 AVENUE	NY	11204	GARY WILLIAMS	718-851-8070	718-853-9308	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
17K181 	K	2.0	K181	P.S. 181 BROOKLYN	K-8	1.0	17	17.0	1023 NEW YORK AVENUE	NY	11203	LOWELL COLEMAN	718-462-5298	718-284-5053	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
23K184 	K	2.0	K184	P.S. 184 NEWPORT	K-8	1.0	23	23.0	273 NEWPORT STREET	NY	11212	LAMSON LAM	718-495-7775	718-385-4655	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
20K185 	K	2.0	K185	P.S. 185 WALTER KASSENBROCK	Elementary	1.0	20	20.0	8601 RIDGE BOULEVARD	NY	11209	KENNETH LLINAS	718-745-6610	718-836-9631	0K,01,02,03,04,05,SE	BROOKLYN
20K186 	K	2.0	K186	P.S. 186 DR. IRVING A GLADSTONE	Elementary	1.0	20	20.0	7601 19 AVENUE	NY	11214	Bayan (Ebeid) Cadotte	718-236-7071	718-331-9181	PK,0K,01,02,03,04,05,SE	BROOKLYN
20K187 	K	2.0	K187	I.S. 187	Junior High-Intermediate-Middle	1.0	20	20.0	1171 65 STREET	NY	11219	JUSTIN BERMAN	718-236-3394	718-236-3638	06,07,08,SE	BROOKLYN
21K188 	K	2.0	K188	P.S. 188 MICHAEL E. BERDY	Elementary	1.0	21	21.0	3314 NEPTUNE AVENUE	NY	11224	Frederick M.  Tudda	718-266-6380	718-266-7103	PK,0K,01,02,03,04,05,SE	BROOKLYN
17K189 	K	2.0	K189	P.S. 189 LINCOLN TERRACE	K-8	1.0	17	17.0	1100 EAST NEW YORK AVENUE	NY	11212	Ms. Berthe G. Faustin	718-756-0210	718-604-1865	0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
19K190 	K	2.0	K190	P.S. 190 SHEFFIELD	Elementary	1.0	19	19.0	590 SHEFFIELD AVENUE	NY	11207	STEPHAUN HILL	718-346-8780	718-345-8765	PK,0K,01,02,03,04,05,SE	BROOKLYN
17K191 	K	2.0	K191	P.S. 191 PAUL ROBESON	Elementary	1.0	17	17.0	1600 PARK PLACE	NY	11233	Mrs. Elsi Capolongo	718-756-1206	718-756-5417	PK,0K,01,02,03,04,05,SE	BROOKLYN
20K192 	K	2.0	K192	P.S. 192 BROOKLYN	K-8	1.0	20	20.0	4715 18 AVENUE	NY	11204	LISET ISAAC	718-633-3061	718-871-8721	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
22K193 	K	2.0	K193	P.S. 193 GIL HODGES	Elementary	1.0	22	22.0	2515 AVENUE L	NY	11210	Frank A. Cimino	718-338-9011	718-338-9074	PK,0K,01,02,03,04,05,SE	BROOKLYN
22K194 	K	2.0	K194	P.S. 194 RAOUL WALLENBERG	Elementary	1.0	22	22.0	3117 AVENUE W	NY	11229	Mary Zissler-Lynch	718-648-8804	718-934-0244	PK,0K,01,02,03,04,05,SE	BROOKLYN
22K195 	K	2.0	K195	P.S. 195 MANHATTAN BEACH	Elementary	1.0	22	22.0	131 IRWIN STREET	NY	11235	ARTHUR FORMAN	718-648-9102	718-934-0625	PK,0K,01,02,03,04,05	BROOKLYN
14K196 	K	2.0	K196	P.S. 196 TEN EYCK	Elementary	1.0	14	14.0	207 BUSHWICK AVENUE	NY	11206	Janine Colon	718-497-0139	718-628-5134	PK,0K,01,02,03,04,05,SE	BROOKLYN
22K197 	K	2.0	K197	P.S. 197 BROOKLYN	Elementary	1.0	22	22.0	1599 EAST  22 STREET	NY	11210	Rosemarie Barbiere Nicolet*	718-377-7890	718-377-7505	PK,0K,01,02,03,04,05,SE	BROOKLYN
22K198 	K	2.0	K198	P.S. 198 BROOKLYN	Elementary	1.0	22	22.0	4105 FARRAGUT ROAD	NY	11210	Joy-Ann Morgan	718-282-4920	718-940-0821	PK,0K,01,02,03,04,05,SE	BROOKLYN
21K199 	K	2.0	K199	P.S. 199 FREDERICK WACHTEL	Elementary	1.0	21	21.0	1100 ELM AVENUE	NY	11230	ROSALIA BACARELLA	718-339-1422	718-336-5562	PK,0K,01,02,03,04,05,SE	BROOKLYN
20K200 	K	2.0	K200	P.S. 200 BENSON SCHOOL	Elementary	1.0	20	20.0	1940 BENSON AVENUE	NY	11214	JAVIER MUNIZ	718-236-5466	718-232-3428	PK,0K,01,02,03,04,05,SE	BROOKLYN
20K201 	K	2.0	K201	J.H.S. 201 THE DYKER HEIGHTS	Junior High-Intermediate-Middle	1.0	20	20.0	8010 12 AVENUE	NY	11228	Ms. Madeleine Brennan	718-833-9363	718-836-1786	06,07,08,SE	BROOKLYN
19K202 	K	2.0	K202	P.S. 202 ERNEST S. JENKYNS	K-8	1.0	19	19.0	982 HEGEMAN AVENUE	NY	11208	Pauline Smith-Gayle	718-649-7880	718-927-2173	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
22K203 	K	2.0	K203	P.S. 203 FLOYD BENNETT	Elementary	1.0	22	22.0	5101 AVENUE M	NY	11234	LISA ESPOSITO	718-241-8488	718-209-9641	PK,0K,01,02,03,04,05,SE	BROOKLYN
20K204 	K	2.0	K204	P.S. 204 VINCE LOMBARDI	Elementary	1.0	20	20.0	8101 15 AVENUE	NY	11228	Mrs. Marie Reilly	718-236-2906	718-232-9265	PK,0K,01,02,03,04,05,SE	BROOKLYN
20K205 	K	2.0	K205	P.S. 205 CLARION	Elementary	1.0	20	20.0	6701 20 AVENUE	NY	11204	BETH GRATER	718-236-2380	718-331-7299	PK,0K,01,02,03,04,05,SE	BROOKLYN
22K206 	K	2.0	K206	P.S. 206 JOSEPH F LAMB	K-8	1.0	22	22.0	2200 GRAVESEND NECK ROAD	NY	11229	DEIRDRE KEYES	718-743-5598	718-332-4986	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
22K207 	K	2.0	K207	P.S. 207 ELIZABETH G. LEARY	K-8	1.0	22	22.0	4011 FILLMORE AVENUE	NY	11234	MARY BOSCO	718-645-8667	718-645-8139	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
18K208 	K	2.0	K208	P.S. 208 ELSA EBELING	Elementary	1.0	18	18.0	4801 AVENUE D	NY	11203	Ms. Kristy Parris	718-629-1670	718-451-0185	PK,0K,01,02,03,04,05,SE	BROOKLYN
21K209 	K	2.0	K209	P.S. 209 MARGARET MEAD	K-8	1.0	21	21.0	2609 EAST  7 STREET	NY	11235	Frances Locurcio	718-743-1954	718-743-6361	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
18K211 	K	2.0	K211	I.S. 211 JOHN WILSON	Junior High-Intermediate-Middle	1.0	18	18.0	1001 EAST 100 STREET	NY	11236	Buffie Simmons-Peart	718-251-4411	718-241-2503	06,07,08,SE	BROOKLYN
21K212 	K	2.0	K212	P.S. 212 LADY DEBORAH MOODY	Elementary	1.0	21	21.0	87 BAY  49 STREET	NY	11214	JOSEPHINE MARSELLA	718-266-4841	718-266-7080	PK,0K,01,02,03,04,05,SE	BROOKLYN
19K213 	K	2.0	K213	P.S. 213 NEW LOTS	Elementary	1.0	19	19.0	580 HEGEMAN AVENUE	NY	11207	Anne Lee Bernard	718-257-4034	718-272-3446	PK,0K,01,02,03,04,05,SE	BROOKLYN
19K214 	K	2.0	K214	P.S. 214 MICHAEL FRIEDSAM	Elementary	1.0	19	19.0	2944 PITKIN AVENUE	NY	11208	PATRICIA TUBRIDY	718-647-1740	718-827-5838	PK,0K,01,02,03,04,05,SE	BROOKLYN
21K215 	K	2.0	K215	P.S.  215  MORRIS H.  WEISS	Elementary	1.0	21	21.0	415 AVENUE S	NY	11223	ANTONELLA BOVE	718-339-2464	718-998-7235	PK,0K,01,02,03,04,05,SE	BROOKLYN
21K216 	K	2.0	K216	P.S. 216 ARTURO TOSCANINI	Elementary	1.0	21	21.0	350 AVENUE X	NY	11223	CELIA KAPLINSKY	718-645-2862	718-645-2610	PK,0K,01,02,03,04,05,SE	BROOKLYN
22K217 	K	2.0	K217	P.S. 217 COLONEL DAVID MARCUS SCHOOL	Elementary	1.0	22	22.0	1100 NEWKIRK AVENUE	NY	11230	FRANCA CONTI	718-434-6960	718-434-8170	PK,0K,01,02,03,04,05,SE	BROOKLYN
19K218 	K	2.0	K218	J.H.S. 218 JAMES P. SINNOTT	Junior High-Intermediate-Middle	1.0	19	19.0	370 FOUNTAIN AVENUE	NY	11208	Alison Breedy	718-647-9050	718-827-5839	06,07,08,SE	BROOKLYN
18K219 	K	2.0	K219	P.S. 219 KENNEDY-KING	Elementary	1.0	18	18.0	1060 CLARKSON AVENUE	NY	11212	Ms. Winsome Smith	718-342-0493	718-345-3065	PK,0K,01,02,03,04,05,SE	BROOKLYN
20K220 	K	2.0	K220	J.H.S. 220 JOHN J. PERSHING	Junior High-Intermediate-Middle	1.0	20	20.0	4812 9 AVENUE	NY	11220	LORETTA WITEK	718-633-8200	718-871-7466	06,07,08,SE	BROOKLYN
17K221 	K	2.0	K221	P.S. 221 TOUSSAINT L'OUVERTURE	Elementary	1.0	17	17.0	791 EMPIRE BOULEVARD	NY	11213	Clara Moodie-Kirkland	718-756-0122	718-953-2657	PK,0K,01,02,03,04,05,SE	BROOKLYN
22K222 	K	2.0	K222	P.S. 222 KATHERINE R. SNYDER	Elementary	1.0	22	22.0	3301 QUENTIN ROAD	NY	11234	LOUISE BLAKE	718-998-4298	718-339-2107	PK,0K,01,02,03,04,05,SE	BROOKLYN
20K223 	K	2.0	K223	J.H.S. 223 THE MONTAUK	Junior High-Intermediate-Middle	1.0	20	20.0	4200 16 AVENUE	NY	11204	ANDREW FRANK	718-438-0155	718-871-7477	06,07,08,SE	BROOKLYN
19K224 	K	2.0	K224	P.S. 224 HALE A. WOODRUFF	Elementary	1.0	19	19.0	757 WORTMAN AVENUE	NY	11208	GEORGE ANDREWS	718-235-3600	718-827-5840	PK,0K,01,02,03,04,05,06,SE	BROOKLYN
21K225 	K	2.0	K225	P.S. K225 - THE EILEEN E. ZAGLIN	K-8	1.0	21	21.0	1075 OCEAN VIEW AVENUE	NY	11235	JOSEPH MONTEBELLO	718-743-9793	718-743-7096	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
21K226 	K	2.0	K226	P.S. 226 ALFRED DE B.MASON	K-8	1.0	21	21.0	6006 23 AVENUE	NY	11204	SHERRY TANNENBAUM	718-256-1118	718-256-0384	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
