School,Final address
Jefferson Out Of School (OST) Program,1325 - 18th Ave 
"Jordan, June High School",325 La Grande Avenue 
"Key, Francis Scott Early Education School",1530 - 43rd Ave 
"Key, Francis Scott Elementary School",1530-43rd Avenue 
"King, Dr. Martin Luther, Jr. Middle School",350 Girard Street 
KIPP Bayview Academy,1060 Key Avenue 
KIPP SF Bay Academy,1430 Scott Street 
KIPP SF College Prep,655 De Haro Street 
Lafayette Elementary School,4545 Anza Street 
Lakeshore Elementary School,220 Middlefield Drive 
Las Americas Early Education School,801 Treat Ave 
"Lau, Gordon J. Elementary School",950 Clay Street 
"Lau, Gordon J. Preschool",950 Clay St 
Lawton,1570 31st Avenue 
Leadership Charter High School,241 Oneida Avenue Suite 301 
"Lick, James Middle School",1220 Noe Street 
Life Learning Academy Charter School,651 8th Street Building 229 
"Lilienthal, Claire (3-8 Winfield Scott Campus)",3630 Divisadero Street 
"Lilienthal, Claire (K-2 Madison Campus)",3950 Sacramento Street 
"Lincoln, Abraham High School",2162 24th Avenue 
Log Cabin Ranch,PO BOX 329 
Longfellow Elementary School,755 Morse Street 
Lowell High School,1101 Eucalyptus Drive 
"Mahler, Theresa S. Early Education School",990 Church St 
Malcolm X Elementary School,350 Harbor Road 
Marina Middle School,3500 Fillmore Street 
Marshall Elementary School,1575 - 15th Street 
"Marshall, Thurgood High School",45 Conkling Street 
"McCoppin, Frank Early Education School",651 - 6th Ave 
"McCoppin, Frank Elementary School",651 6th Avenue 
McKinley Elementary School,1025 - 14th Street 
"McLaren, John Early Education School",2055 Sunnydale Ave 
"Milk, Harvey Elementary School",4235 19th Street 
Miraloma Elementary School,175 Omar Way 
Mission Education Center Elementary School,1670 Noe Street 
Mission High School,3750 - 18th Street 
Monroe Elementary School,260 Madrid Street 
"Moscone, George Elementary School",2576 Harrison Street 
"Muir, John Elementary School",380 Webster Street 
"Muir, John Preschool",380 Webster St 
New Traditions Elementary School,2049 Grove Street 
Noriega Early Education School,1775-44th Ave 
"O'Connell, John High School",2355 Folsom Street 
"Ortega, Jose Elementary School",400 Sargent Street 
"Parker, Jean Early Education School",840 Broadway 
"Parker, Jean Elementary School",840 Broadway Street 
"Parks, Rosa Elementary School",1501 O'Farrell Street 
"Peabody, George Elementary School",251 6th Avenue 
Presidio Early Education School,387 Moraga Ave. 
Presidio Middle School,450 30th Avenue 
Redding Early Education School,1421 Pine St 
Redding Elementary School,1421 Pine Street 
"Revere, Paul",555 Tompkins Avenue 
Rodriguez. Zaida T. Early Education School,421 Bartlett Ave 
Rooftop (5-8 Mayeda Campus),500 Corbett Street 
Rooftop (K-4 Burnett Campus),443 Burnett Street 
"Roosevelt, Theodore Middle School",460 Arguello Blvd 
S. F. Community,125 Excelsior Avenue 
S. F. International High School,1050 York Street 
S. F. Public Montessori Elementary School,2340 Jackson Street 
San Miguel Early Education School,300 Seneca Ave 
Sanchez Elementary School,325 Sanchez Street 
"Serra, Junipero Early Education School",625 Holly Park Circle 
"Serra, Junipero Early Education School",155 Appleton Ave. 
"Serra, Junipero Elementary School",625 Holly Park Circle 
Sheridan Elementary School,431 Capitol Avenue 
Sheridan Preschool,431 Capitol Ave 
Sherman Elementary School,1651 Union Street 
"Sloat, Commodore Elementary School",50 Darien Way 
Spring Valley Early Education School,1451 Jackson St 
Spring Valley Elementary School,1451 Jackson Street 
Starr King Elementary School,1215 Carolina Street 
Starr King Preschool,1215 Carolina St 
"Stevenson, Robert Louis Elementary School",2051 - 34th Avenue 
"Stockton, Commodore Early Education School",1 Trenton Street 
Sunnyside Elementary School,250 Foerster Street 
Sunset Elementary School,1920 41st Avenue 
Sutro Early Education School,235 - 12th Ave 
Sutro Elementary School,235 12th Avenue 
"Taylor, E. R. Elementary School",423 Burrows Street 
"Taylor, E.R. Preschool",423 Burrows St 
Tenderloin Elementary School,627 Turk Street 
Tule Elk Park Early Education School,2110 Greenwich St 
Ulloa Elementary School,2650 42nd Avenue 
Visitacion Valley Elementary School,55 Schwerin Street 
Visitacion Valley Middle School,450 Raymond Avenue 
"Wallenberg, Raoul High School",40 Vega Street 
"Washington, George High School",600 32nd Avenue 
"Webster, Daniel Early Education School",465 Missouri St 
"Webster, Daniel Elementary School",465 Missouri Street 
"Weill, Raphael Early Education School",1501 O'Farrell St 
"Wells, Ida B. High School",1099 Hayes Street 
West Portal Elementary School,5 Lenox Way 
Woodside Learning Center,375 Woodside Avenue 
Yick Wo Elementary School,940 Filbert Street 
"Yu, Alice Fong",1541 - 12th Avenue 
