Certificate Number,Ownership_Name,DBA Name,Business Address Number,Business Address Street Name,Business Address Full,Business Room Suite,Business Zip,Business Number,Location Number,Class Code,PBC Code,DBA Start Date,Location Start Date,Mailing Address 1,Mailing Address 2,Mailing City/State/Zip Code,Location
955485,HO'S BAR & RESTAURANT INC,HO'S CHINESE DELIVERY         ,2360,VAN NESS AVE,2360 VAN NESS AVE,,94109,3,1,8,5800,19960701,20130613,2360 VAN NESS AVE,,SAN FRANCISCO CA 941091872,"(37.7974890623601, -122.42339692218)"
955485,HO'S BAR & RESTAURANT INC,GUNG HO TAVERN                ,2360,VAN NESS AVE,2360 VAN NESS AVE,,94109,2,1,8,5800,19960701,20121215,2360 VAN NESS AVE,,SAN FRANCISCO CA 941091872,"(37.7974890623601, -122.42339692218)"
955473,JEW MARVIN F & SUSAN A,VILLAGE PIZZERIA VAN NESS     ,1243,VAN NESS AVE,1243 VAN NESS AVE,,941095534,1,1,8,3079,19960827,19960827,1243 VAN NESS AVE,,SAN FRANCISCO CA 941095534,"(37.787319181568, -122.422123040485)"
955366,OLIMPIADA JOSELITO,BRIDGE NITE CLUB BAR & GRILL  ,1371,25TH AVE,1371 25TH AVE,,941221524,1,1,8,3079,19960820,19960820,1371 25TH AVE,,SAN FRANCISCO CA 941221524,"(37.7619570986137, -122.483791250128)"
955152,GUERRERO SERGIO,CUMAICA COFFEE CO. #2         ,4726,MISSION ST,4726 MISSION ST,,94112,4,1,8,3079,19940415,20110101,2800 CALIFORNIA ST #2,,SAN FRANCISCO CA 941152545,"(37.7227188563794, -122.436653913075)"
955152,GUERRERO SERGIO,CUMAICA COFFEE CO             ,2800,CALIFORNIA ST,2800 CALIFORNIA ST,,94115,3,1,8,3079,19940415,20110301,2800 CALIFORNIA ST #2,,SAN FRANCISCO CA 941152545,"(37.7882935911261, -122.440787779576)"
954942,THOMAS NELLY AGUILAR FELIX,POLLO CAMPERO PUPUSERIA & REST,3322,MISSION ST,3322 MISSION ST,,941105009,1,1,8,5812,19960807,19960807,3322 MISSION ST,,SAN FRANCISCO CA 941105009,"(37.7436413076625, -122.421488972984)"
954858,STELLAR ONE INC,BROADWAY JOE'S SPORTS BAR     ,2550,VAN NESS AVE #2,2550 VAN NESS AVE #2,,94109,1,1,8,5800,19950331,20030402,2550 VAN NESS AVE #2,,SAN FRANCISCO CA 941091609,"(37.7992804979398, -122.423519468753)"
954854,CABANA RESTAURANT CLUB INC,BAHIA CABANA                  ,1600,MARKET ST,1600 MARKET ST,,941025910,1,1,8,5800,19950501,19950501,47 DOLORES TER,,SAN FRANCISCO CA 941101010,"(37.7740755758907, -122.421044221695)"
954673,TAQUERIAS DAVID VALLE INC,TAQUERIA SAN JOSE NO 1        ,2830,MISSION ST,2830 MISSION ST,,941103908,1,1,8,5800,19960701,20030401,2715 MARTINEZ DR,,BURLINGAME CA 940105857,"(37.7516629241182, -122.418731853314)"
954490,PLOUF INC,PLOUF                         ,40,BELDEN PL,40 BELDEN PL,,94104,1,1,8,5800,19960617,19960617,40 BELDEN PL,,SAN FRANCISCO CA 941042802,"(37.7913139315522, -122.403635201346)"
954263,BOYER JASON KEYES STACEY,ESPRESSIONS                   ,950,CALIFORNIA ST,950 CALIFORNIA ST,,94108,1,1,8,5812,19960717,19960717,6 ROTTECK ST,,SAN FRANCISCO CA 941121432,
954254,GREEN OPTIONS,GREEN OPTIONS                 ,2262,PALOU ST,2262 PALOU ST,,941241505,1,1,8,5800,19960627,19960627,1585A FOLSOM,,SAN FRANCISCO CA 941033728,
953808,FORTUNE ENTERPRISE INC,SUPERIOR PALACE SEAFOOD RESTAU,3546,BALBOA ST,3546 BALBOA ST,,94121,2,1,8,5800,19960701,19970701,1646 43RD AVENUE,,SAN FRANCISCO CA 941222927,"(37.7759407990229, -122.497060400954)"
953808,FORTUNE ENTERPRISE INC,FORTUNE ENTERPRISE INC        ,1646,43RD AVENUE,1646 43RD AVENUE,,941222927,1,1,8,5800,19960701,19960701,1646 43RD AVENUE,,SAN FRANCISCO CA 941222927,"(37.7559548825039, -122.502056685615)"
952953,CANTOR JULIE A,CANTOR JULIE A                ,3545,21ST ST,3545 21ST ST,,941143026,1,1,8,3079,19960603,19960603,3545 21ST ST,,SAN FRANCISCO CA 941143026,"(37.7563396212403, -122.426618159608)"
952887,TURNER CLIFTON,CLIFF'S BAR B QUE & SEAFOOD   ,2177,BAY SHORE BLVD,2177 BAY SHORE BLVD,,94134,1,1,8,3079,19960531,19960531,2177 BAY SHORE BLVD,,SAN FRANCISCO CA 941342455,"(37.7124017500905, -122.400968232775)"
952829,TRAN CUONG THANH,KING-KONG BIDA                ,745,O'FARRELL ST,745 O'FARRELL ST,,94109,1,1,8,3079,19960529,19960529,455 HYDE ST #54,,SAN FRANCISCO CA 941097459,"(37.7850052938655, -122.416961411276)"
952829,TRAN CUONG THANH,SAO BIEN RESTAURANT           ,701,LARKIN ST,701 LARKIN ST,,94109,2,1,8,3079,19960529,20110818,455 HYDE ST #54,,SAN FRANCISCO CA 941097459,"(37.7843849740063, -122.418030314361)"
952736,VANINWAGEN THOMAS E/DANETTE S,JOYPAD                        ,78,MINNA ST,78 MINNA ST,,941053004,3,1,8,3079,19960524,20001026,571 MISSION ST 1ST FL,,SAN FRANCISCO CA 941052933,
952736,VANINWAGEN THOMAS E/DANETTE S,RICO'S PIZZA 49               ,571,MISSION ST,571 MISSION ST,,941052933,1,1,8,3079,19960524,19960524,571 MISSION ST 1ST FL,,SAN FRANCISCO CA 941052933,"(37.7882622478131, -122.398873517284)"
952736,VANINWAGEN THOMAS E/DANETTE S,MR PIZZA MAN                  ,571,MISSION ST,571 MISSION ST,,941052933,4,1,8,3079,19960524,20001026,571 MISSION ST 1ST FL,,SAN FRANCISCO CA 941052933,"(37.7882622478131, -122.398873517284)"
952736,VANINWAGEN THOMAS E/DANETTE S,WIND SONG CO                  ,571,MISSION ST,571 MISSION ST,2ND FL,941052933,2,1,8,3079,19960524,19980706,571 MISSION ST 1ST FL,,SAN FRANCISCO CA 941052933,"(37.7882622478131, -122.398873517284)"
952466,MEYERS COMPANY LLC THE,FIREWOOD CAFE THE             ,4248,18TH ST,4248 18TH ST,,941142410,1,1,8,5800,19960515,19960515,133 STILLMAN ST,,SAN FRANCISCO CA 941074218,"(37.7609643890924, -122.436925968999)"
952225,CHINGCUANGCO IRMA,IRMA'S PAMPANGA RESTAURANT    ,2901,16TH ST,2901 16TH ST,402,94110,2,1,8,3079,20030212,20030212,2901 16TH ST,,SAN FRANCISCO CA 941033612,"(37.7649293208856, -122.417909343819)"
952183,PRADHAN DILIP,PANHANDLE PIZZA               ,2077,HAYES ST,2077 HAYES ST,,94117,3,1,8,3079,20120401,20120401,2077 HAYES ST,,SAN FRANCISCO CA 941171127,"(37.7731942382574, -122.450648560356)"
952180,COVE INC THE,COVE CAFE                     ,434,CASTRO ST,434 CASTRO ST,,94114,1,1,8,5800,19960501,19960501,434 CASTRO ST,,SAN FRANCISCO CA 941142020,"(37.761892715698, -122.435414858733)"
952180,COVE INC THE,COVE THE                      ,434,CASTRO ST,434 CASTRO ST,,94114,2,1,8,5800,19960501,19960501,434 CASTRO ST,,SAN FRANCISCO CA 941142020,"(37.761892715698, -122.435414858733)"
952015,LI WARREN J H,ORIENTAL RESTAURANT           ,1063,MARKET ST,1063 MARKET ST,,94103,2,1,8,3079,20120828,20120828,1063 MARKET ST,,SAN FRANCISCO CA 941031605,"(37.780838205346, -122.4113702518)"
951923,LAS PALMERAS RESTAURANT INC,LAS PALMERAS RESTAURANT INC   ,2723,MISSION ST,2723 MISSION ST,,941103103,1,1,8,5800,19960429,19960429,2723 MISSION ST,,SAN FRANCISCO CA 941103103,"(37.7534822396301, -122.418203926691)"
951922,SABABA INC,SABRA                         ,419,GRANT AVE,419 GRANT AVE,,94108,1,1,8,5800,19960429,19960429,419 GRANT AVE,,SAN FRANCISCO CA 941083208,
951901,LI ANG WEI,WING LUM RESTAURANT           ,1150,POLK ST,1150 POLK ST,,94109,1,1,8,3079,19960426,19960426,1150 POLK ST,,SAN FRANCISCO CA 941095547,
951565,YIMSAMRARN N & BLANEY L,GREAT WATER BAR & CAFE THE    ,373,BROADWAY ST,373 BROADWAY ST,,941334512,2,1,8,3079,19980205,19980205,646 KENNEDY ST APT 210,,OAKLAND CA 946065323,"(37.7980919711204, -122.403378591458)"
951441,SRISAWAT PINYO,CHA AM EXPRESS                ,315,KEARNY ST,315 KEARNY ST,,94108,1,1,8,3079,19960412,19960412,153 PLAZA DR #107,,BERKELEY CA 947052415,"(37.7909975952686, -122.404299114483)"
951432,ABU-SEIBAA SAMIR O,WHAT A GRIND                  ,1301,FILLMORE ST,1301 FILLMORE ST,,94115,1,1,8,3079,19981101,19981101,1301 FILLMORE ST,,SAN FRANCISCO CA 941154112,"(37.7818118437006, -122.433249866762)"
951423,CRANERT BRIAN,KEZAR CLUB                    ,770,STANYAN ST,770 STANYAN ST,,94117,1,1,8,3079,19910201,19910201,770 STANYAN ST,,SAN FRANCISCO CA 941172725,"(37.7678849400838, -122.452902655595)"
951361,THAPA SHIV,MELA INDO NEPALI CUSINE       ,417,OFARRELL ST,417 OFARRELL ST,,94102,1,1,8,3079,19960415,19960415,417 OFARRELL ST,,SAN FRANCISCO CA 941022009,"(37.7857394556334, -122.411766592961)"
951162,QUACH CUI KY & CHIEM NGHIEM,KIM THANH RESTAURANT          ,607,GEARY ST,607 GEARY ST,,94102,1,1,8,3079,19960401,19960401,950 STOCKTON ST #403,,SAN FRANCISCO CA 941081616,
951100,DABIT JOSEPH Y,CUP A JOE COFFEEHOUSE         ,896,SUTTER ST,896 SUTTER ST,,941096115,3,1,8,3079,19960415,20000411,896 SUTTER ST,,SAN FRANCISCO CA 941096115,"(37.7886023484338, -122.415020102258)"
951100,DABIT JOSEPH Y,ACME BURGERHAUS               ,559,DIVISADERO ST,559 DIVISADERO ST,,94117,5,1,8,3079,19960415,20090803,896 SUTTER ST,,SAN FRANCISCO CA 941096115,"(37.7747612127349, -122.438038949354)"
951023,MARTUNI'S INC,MARTUNI'S                     ,4,VALENCIA ST,4 VALENCIA ST,,941031102,1,1,8,5800,19960401,19960401,1411 CASA BUENA DR #13,,CORTE MADERA CA 949251738,
950880,DLE INC,ERIC'S RESTAURANT             ,1500,CHURCH ST,1500 CHURCH ST,,94131,1,1,8,5800,19960101,19960101,1500 CHURCH STREET,,SAN FRANCISCO CA 941312018,"(37.7467511466533, -122.427242803087)"
950677,GOLDEN CENTURY INT'L USA,HAPPY VALLEY SEAFOOD REST     ,1255,BATTERY ST,1255 BATTERY ST,,94111,1,1,8,5800,19990301,19990301,101 CALIFORNIA ST #925,,SAN FRANCISCO CA 941115866,"(37.8024883606034, -122.402181208443)"
950666,TEJEDA PAULA,CHILE LINDO                   ,2944,16TH ST,2944 16TH ST,,941033613,1,1,8,3079,19960321,19960321,350 SAN CARLOS ST,,SAN FRANCISCO CA 941102410,
950577,ELIZA'S RESTAURANT INC,ELIZA'S RESTAURANT            ,2877,CALIFORNIA ST,2877 CALIFORNIA ST,,94115,2,2,8,5800,19960101,19991216,170 COLUMBUS AVE #368,,SAN FRANCISCO CA 941335160,"(37.787646351379, -122.441612313922)"
950551,QUACH MASON & LAURIE,IRVING STREET CAFE            ,716,IRVING ST,716 IRVING ST,,94122,1,1,8,3079,19960101,19960101,716 IRVING ST,,SAN FRANCISCO CA 941222410,"(37.764251587539, -122.465539919418)"
950402,ZAWAYDEH FATIN E,LIQUID EXPERIENCE             ,1589,HAIGHT ST,1589 HAIGHT ST,,94117,1,1,8,3079,19960315,19960315,1589 HAIGHT ST,,SAN FRANCISCO CA 941172912,"(37.7696559356112, -122.448173794498)"
950389,ROMO-FLORES C & ROMO-SANCHEZ C,CHAVITA'S MEXICAN RESTAURANT  ,3006,MISSION ST,3006 MISSION ST,,941104502,1,1,8,5812,19960201,19980101,3006 MISSION ST,,SAN FRANCISCO CA 941104502,"(37.7488269890785, -122.418398387862)"
950338,QUALITY PARTNERS INC,QUALITY PARTNERS INC          ,55,NEW MONTGOMERY ST,55 NEW MONTGOMERY ST,506,941053412,1,1,8,5800,19960101,19960101,601 VAN NESS AVE APT 143,,SAN FRANCISCO CA 941023258,"(37.7882266231736, -122.40095543221)"
950338,QUALITY PARTNERS INC,HAUTE DATE                    ,55,NEW MONTGOMERY ST,55 NEW MONTGOMERY ST,506,941053412,2,1,8,5800,19960101,20010404,601 VAN NESS AVE APT 143,,SAN FRANCISCO CA 941023258,"(37.7882266231736, -122.40095543221)"
950227,BHATT AURO & AMI AURO,NEW INDIA BAZAR               ,1107,POLK ST,1107 POLK ST,,94109,2,1,8,3079,19980101,19980101,1107 POLK ST,,SAN FRANCISCO CA 941095512,
950154,ABUELROUS HANY M,SMOKES ETC & NOVELTY          ,3186,16TH ST,3186 16TH ST,,941033363,2,1,8,3079,19960916,19960916,3186 16TH ST,,SAN FRANCISCO CA 941033363,"(37.7650526129993, -122.423732736292)"
950077,KILBY ARLENE,KING JAMAICAN RESTAURANT      ,1279,FULTON ST,1279 FULTON ST,,94117,1,1,8,3079,19960306,19960306,3211 GLENTANA WAY,,ANTELOPE CA 958434927,
949824,ORIGINAL HENRY CORP,LITTLE HENRY'S RESTAURANT     ,955,LARKIN ST,955 LARKIN ST,,94109,3,1,8,5800,19960401,20010404,955 LARKIN ST,,SAN FRANCISCO CA 941097125,
949824,ORIGINAL HENRY CORP,ORIGINAL HENRY'S CORPORATION  ,955,LARKIN ST,955 LARKIN ST,,941097125,2,1,8,5800,19960401,19971028,955 LARKIN ST,,SAN FRANCISCO CA 941097125,
949801,PRG FOOD CO INC,LITTLE CITY ANTIPASTI BAR     ,673,UNION ST,673 UNION ST,,941332811,1,1,8,5800,19950403,19950403,673 UNION ST,,SAN FRANCISCO CA 941332811,"(37.8000001316832, -122.410421167618)"
949669,BENIHANA NATIONAL CORP,BENIHANA OF TOKYO             ,1737,POST ST,1737 POST ST,,94115,1,1,8,5800,19950531,19950531,1938 N WOODLAWN STE 110,,WICHITA KS 672080000,"(37.7851658399062, -122.430552378541)"
949339,YENS INC,IMPERIAL GARDEN SEAFOOD REST  ,2626,SAN BRUNO AVE,2626 SAN BRUNO AVE,,941341507,1,1,8,5800,19960101,19960101,2626 SAN BRUNO AVE,,SAN FRANCISCO CA 941341507,"(37.7283890655689, -122.404243528426)"
949163,BEALE STREET PARTNERS LLC,ELROYS                        ,300,BEALE ST,300 BEALE ST,,94105,3,1,8,5812,19960208,19960208,300 BEALE ST #101,,SAN FRANCISCO CA 941052091,"(37.78813949142, -122.392579515461)"
949003,CAMPICOLA CREEK INC,ZA PIZZA                      ,1919,HYDE ST,1919 HYDE ST,,94109,1,1,8,5800,20011201,20011201,1919 HYDE ST,,SAN FRANCISCO CA 941092014,"(37.7985500866119, -122.41914388345)"
948933,TANG DAISY HONG,LA VIE VIETNAMESE RESTAURANT  ,5830,GEARY BLVD,5830 GEARY BLVD,,94121,2,1,8,3079,20130301,20130301,5830 GEARY BLVD,,SAN FRANCISCO CA 941212005,"(37.7805266027101, -122.482031113622)"
948844,LUONG NHAT A LUONG JOHN Z,HOP LAKE RESTAURANT           ,525,CORTLAND AVE,525 CORTLAND AVE,,94110,1,1,8,5812,19960201,19960201,339 HANOVER AVE,,OAKLAND CA 946061372,"(37.7392141585007, -122.416012996672)"
948817,KHIABANI HOSSEIN Z,AROMI                         ,1580,LOMBARD ST,1580 LOMBARD ST,3,94123,1,1,8,3079,19960129,19960129,1580 LOMBARD ST #3,,SAN FRANCISCO CA 941233133,"(37.8012701208778, -122.427430420841)"
948761,RICE GARDEN INC,RICE GARDEN                   ,1515,SLOAT BLVD,1515 SLOAT BLVD,,941321222,2,1,8,5800,20001130,20001130,2121 W. MISSION RD #301,,ALHAMBRA CA 918030000,
948672,JIH RONG HSUN,PEKING RESTAURANT             ,1375,NORIEGA ST,1375 NORIEGA ST,,941224409,1,1,8,3079,20030101,20030101,1375 NORIEGA ST,,SAN FRANCISCO CA 941224409,
948395,WONG LILY T,SLIDER DINER                  ,1202,SUTTER ST,1202 SUTTER ST,,94109,1,1,8,3079,19960101,19960101,1202 SUTTER ST,,SAN FRANCISCO CA 941095517,"(37.7878896424927, -122.420368347584)"
948394,CEBON ANNIE K,TDS                           ,888,OFARRELL ST,888 OFARRELL ST,104,94109,2,1,8,3079,20071101,20071101,2850 VICENTE ST,,SAN FRANCISCO CA 941162720,"(37.785296186809, -122.419013295376)"
948394,CEBON ANNIE K,CEBON COGNAC COMPANY          ,PIER 23,THE EMBARCADERO,PIER 23 THE EMBARCADERO,,94111,5,1,8,3079,20071101,20071101,2850 VICENTE ST,,SAN FRANCISCO CA 941162720,
948280,PAULA LEDUC INC,PAULA LEDUC INC               ,1350,PARK AVE,1350 PARK AVE,,94608,1,999,8,5800,19930101,19930101,1350 PARK AVE,,EMERYVILLE CA 946083537,
948271,LIU YOK KOON & CHAN BESSIE,3032-36 16TH ST BLDG          ,3032,16TH ST,3032 16TH ST,,941033400,1,1,8,3079,19750815,19750815,680 CLARENDON AVE,,SAN FRANCISCO CA 941311071,"(37.7652547360496, -122.420415098898)"
948065,THE NINTH INNING INC,MUCKY DUCK THE                ,1315,9TH AVE,1315 9TH AVE,,941222308,1,1,8,5800,19960103,19960103,1315 9TH AVE,,SAN FRANCISCO CA 941222308,
948053,TAZ INC,MARCELLO'S PIZZA              ,420,CASTRO ST,420 CASTRO ST,,94114,1,1,8,5800,19960103,19960103,420 CASTRO ST,,SAN FRANCISCO CA 941142020,"(37.7620555640627, -122.435387516288)"
947951,T C PASTRY INC,T C PASTRY                    ,2222,IRVING ST,2222 IRVING ST,,94122,1,1,8,5800,19960101,19960101,2222 IRVING ST,,SAN FRANCISCO CA 941221619,"(37.7636015098756, -122.481903833822)"
947866,COCONUT GROVE LTD THE,COCONUT GROVE LTD THE         ,1415,VAN NESS AVE,1415 VAN NESS AVE,,941094607,1,1,8,5800,19950301,19950301,2001 BRYANT ST,,SAN FRANCISCO CA 941102125,"(37.7887778640287, -122.422401201604)"
947800,LUO RUN PING,WING HING RESTAURANT          ,2550,SAN BRUNO AVE,2550 SAN BRUNO AVE,,941341505,1,1,8,3079,19960101,19960101,2550 SAN BRUNO AVE,,SAN FRANCISCO CA 941341505,"(37.7293230281333, -122.404661346845)"
947657,ABOGHANEM MOHAMED,SAHA                          ,1075,SUTTER ST,1075 SUTTER ST,,94109,2,1,8,3079,20040909,20040909,932 POTRERO AVE,,SAN FRANCISCO CA 941102817,"(37.7877505448529, -122.417931689454)"
947644,ANDERSON SANG SUN,CHELSEA PLACE                 ,641,BUSH ST,641 BUSH ST,,94108,1,1,8,3079,19951215,19951215,641 BUSH ST,,SAN FRANCISCO CA 941083511,
947540,REDDY CHINTALA & PREMA,KAMAL PALACE INDIAN CUISINE   ,641,VALLEJO ST,641 VALLEJO ST,,941333918,1,1,8,3079,19951215,19951215,317 TIPPERARY LN,,ALAMEDA CA 945027765,"(37.7984324562802, -122.408420752449)"
947432,KUI ALEX,V PUB                         ,4314,CALIFORNIA ST,4314 CALIFORNIA ST,,94118,2,1,8,3079,19951003,20000407,370 8TH AVE #1,,SAN FRANCISCO CA 941182119,"(37.7853512152721, -122.463882858332)"
947263,WU ZHI MING,MING'S DINER                  ,2129,TARAVAL ST,2129 TARAVAL ST,,94116,1,1,8,3079,19951205,19951205,2129 TARAVAL ST,,SAN FRANCISCO CA 941162222,"(37.742214299206, -122.48906556297)"
947153,LA MEDITERRANEE II INC,LA MEDITERRANEE II INC        ,288,NOE ST,288 NOE ST,,94114,1,1,8,5800,19950101,19950101,288 NOE ST,,SAN FRANCISCO CA 941141525,"(37.7644859728211, -122.433414710574)"
